"Actions","Actions"
"An error occurred while marking notification as read.","An error occurred while marking notification as read."
"An error occurred while marking the messages as read.","An error occurred while marking the messages as read."
"An error occurred while removing messages.","An error occurred while removing messages."
"An error occurred while removing the message.","An error occurred while removing the message."
"Are you sure?","Are you sure?"
"Date Added","Date Added"
"Error while marking as read. Please try again later.","Error while marking as read. Please try again later."
"Error while marking. Please try again later.","Error while marking. Please try again later."
"Error while removing. Please try again later.","Error while removing. Please try again later."
"Last Update","Last Update"
"Last update","Last update"
"Mark as Read","Mark as Read"
"Mark as read","Mark as read"
"Message","Message"
"Message was successfully marked as read","Message was successfully marked as read"
"Message was successfully removed","Message was successfully removed"
"Messages Inbox","Messages Inbox"
"Notifications","Notifications"
"Please select messages","Please select messages"
"Please select messages.","Please select messages."
"Read Details","Read Details"
"Remove","Remove"
"Severity","Severity"
"Show List","Show List"
"Show Toolbar","Show Toolbar"
"The message has been marked as read.","The message has been marked as read."
"The message has been removed.","The message has been removed."
"Total of %d record(s) have been marked as read.","Total of %d record(s) have been marked as read."
"Total of %d record(s) have been removed.","Total of %d record(s) have been removed."
"Total of %d record(s) were successfully marked as read","Total of %d record(s) were successfully marked as read"
"Total of %d record(s) were successfully removed","Total of %d record(s) were successfully removed"
"Unable to proceed. Please, try again","Unable to proceed. Please, try again"
"Unable to proceed. Please, try again.","Unable to proceed. Please, try again."
"Update Frequency","Update Frequency"
"Update frequency","Update frequency"
"Use HTTPS to Get Feed","Use HTTPS to Get Feed"
"Use HTTPS to get feed","Use HTTPS to get feed"
"Wrong message type","Wrong message type"
"critical","critical"
"major","major"
"minor","minor"
"notice","notice"
