"%s","%s"
"-- Please Select --","-- Silahkan Pilih --"
"Actions","Actions"
"Add Layout Update","Add Layout Update"
"Add New Widget Instance","Add New Widget Instance"
"All","Semua"
"All Pages","Semua halaman"
"All Product Types","Semua jenis produk"
"An error occurred during saving a widget: %s","An error occurred during saving a widget: %s"
"Anchor Categories","Anchor Categories"
"Apply","Apply"
"Assign to Store Views","Assign to Store Views"
"Big Image","Big Image"
"Block Reference","Block Reference"
"CMS","CMS"
"Categories","Categories"
"Choose...","Memilih..."
"Close","Dekat"
"Continue","Terus"
"Default Template","Default Template"
"Delete","Menghapus"
"Design Package/Theme","Design Package/Theme"
"Error occurs during loading chooser.","Kesalahan occurs during loading chooser."
"Export to:","Export to:"
"Frontend Properties","Frontend Properties"
"Generic Pages","Generic halaman"
"Go to Next page","Pergi ke halaman berikutnya"
"Go to Previous page","Pergi ke halaman sebelumnya"
"Images","Images"
"Insert Widget","Insert Widget"
"Insert Widget...","Insert Widget..."
"Layout Updates","Layout Updates"
"Manage Widget Instances","Manage Widget Instances"
"New Instance","New Instance"
"New Widget Instance","New Widget Instance"
"Next page","Halaman berikutnya"
"Non-Anchor Categories","Non-Anchor Categories"
"Not Selected","Tidak dipilih"
"Open Chooser","Open Chooser"
"Page","Halaman"
"Please Select Block Reference First","Silahkan Pilih Block Reference First"
"Previous page","Halaman sebelumnya"
"Products","Produk"
"Remove Layout Update","Remove Layout Update"
"Save and Continue Edit","Simpan dan lanjutkan meredaksi"
"Select All","Pilih semua"
"Select Visible","Pilih terlihat"
"Settings","Settings"
"Sort Order","Urutan Sortir"
"Sort Order of widget instances in the same block reference","Urutan Sortir of widget instances in the same block reference"
"Specific %s","Specific %s"
"Specified Page","Specified Page"
"Template","Template"
"The information in this tab has been changed.","The information in this tab has been changed."
"The widget instance has been deleted.","The widget instance has been deleted."
"The widget instance has been saved.","The widget instance has been saved."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
"Thumbnail","Thumbnail"
"Total %d records found","Total %d records found"
"Type","Type"
"Unselect All","Unselect All"
"Unselect Visible","Unselect Visible"
"View","View"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Insertion","Widget Insertion"
"Widget Instance","Widget Instance"
"Widget Instance Title","Widget Instance Title"
"Widget Options","Widget Options"
"Widget Type","Widget Type"
"Widget Type is not specified","Widget Type is not specified"
"Widget instance is not full complete to create.","Widget instance is not full complete to create."
"Widgets","Widgets"
"Wrong widget instance specified.","Wrong widget instance specified."
"items selected","item yang dipilih"
"of %s pages","dari %s halaman"
"per page","per halaman"
